Date,Open,High,Low,Close,Volume,Adj Close
2017-02-23,264.00,264.660004,255.559998,255.990005,14867000,255.990005
2017-02-22,280.309998,283.450012,272.600006,273.51001,8081400,273.51001
2017-02-21,275.450012,281.399994,274.01001,277.390015,5634500,277.390015
2017-02-17,265.799988,272.890015,264.149994,272.230011,6247600,272.230011
2017-02-16,277.600006,280.00,268.50,268.950012,7053800,268.950012
2017-02-15,280.00,282.23999,276.440002,279.76001,4935600,279.76001
2017-02-14,279.029999,287.390015,278.609985,280.980011,7329400,280.980011
2017-02-13,270.73999,280.790009,270.51001,280.600006,7029600,280.600006
2017-02-10,269.790009,270.950012,266.109985,269.230011,3619700,269.230011
2017-02-09,266.25,271.179993,266.149994,269.200012,7820200,269.200012
2017-02-08,257.350006,263.359985,256.200012,262.079987,3933000,262.079987
2017-02-07,258.190002,260.00,256.420013,257.480011,4244800,257.480011
2017-02-06,251.00,257.820007,250.630005,257.769989,3562500,257.769989
2017-02-03,251.910004,252.179993,249.679993,251.330002,2186700,251.330002
2017-02-02,248.339996,252.419998,247.710007,251.550003,2499800,251.550003
2017-02-01,253.050003,253.199997,249.050003,249.240005,3958800,249.240005
2017-01-31,249.240005,255.889999,247.699997,251.929993,4116100,251.929993
2017-01-30,252.529999,255.289993,247.100006,250.630005,3801100,250.630005
2017-01-27,251.380005,253.00,248.520004,252.949997,3166300,252.949997
2017-01-26,254.289993,255.740005,250.75,252.509995,3152100,252.509995
2017-01-25,257.309998,258.459991,251.800003,254.470001,5142600,254.470001
2017-01-24,250.00,254.800003,249.649994,254.610001,4965500,254.610001
