Date,Open,High,Low,Close,Volume,Adj Close
2017-02-23,104.720001,104.860001,101.82,102.459999,9950000,102.459999
2017-02-22,102.480003,105.199997,102.419998,104.199997,15706400,104.199997
2017-02-21,101.029999,102.540001,100.910004,102.120003,8139100,102.120003
2017-02-17,100.690002,101.730003,100.300003,100.519997,8217100,100.519997
2017-02-16,101.860001,102.099998,100.50,100.82,7428800,100.82
2017-02-15,102.059998,102.129997,100.110001,101.550003,12313300,101.550003
2017-02-14,103.139999,103.599998,100.896004,101.589996,10192100,101.589996
2017-02-13,102.82,104.440002,102.620003,103.099998,9693200,103.099998
2017-02-10,103.879997,103.940002,102.309998,102.360001,7553900,102.360001
2017-02-09,103.57,104.18,102.559998,103.339996,8405000,103.339996
2017-02-08,101.550003,103.989998,101.160004,103.57,10104100,103.57
2017-02-07,101.040001,101.599998,100.50,100.830002,5379100,100.830002
2017-02-06,100.169998,101.706001,100.019997,100.900002,6783400,100.900002
2017-02-03,101.50,101.559998,100.300003,100.389999,5983000,100.389999
2017-02-02,101.279999,101.470001,100.559998,100.839996,5345300,100.839996
2017-02-01,102.07,102.379997,100.870003,101.57,5712300,101.57
2017-01-31,100.239998,102.089996,100.059998,101.309998,7477000,101.309998
2017-01-30,101.199997,101.459999,100.089996,101.019997,8602100,101.019997
2017-01-27,102.25,102.699997,101.290001,102.07,8022100,102.07
2017-01-26,103.919998,104.57,102.169998,102.75,12479200,102.75
2017-01-25,102.459999,104.269997,101.900002,104.059998,23235500,104.059998
2017-01-24,103.150002,103.190002,99.940002,101.43,36284900,101.43
